,ci,drs,ds,qa,rc,Average,Rank
smollm-135m,0.30718954248366015,1.0,0.66,0.23529411764705885,0.326797385620915,0.5058562091503267,1
smollm-1.7b,0.19607843137254902,0.8866666666666667,0.37999999999999995,0.28758169934640526,0.37254901960784315,0.42457516339869283,2
smollm-360m,0.22222222222222224,0.18000000000000002,0.07333333333333335,0.23529411764705885,0.3006535947712418,0.20230065359477126,3
