,ci,drs,ds,qa,rc,Average,Rank
smollm-360m,4.15359477124183,2.4,2.6166666666666667,5.352941176470588,4.166666666666667,3.7379738562091505,1
smollm-135m,4.310457516339869,1.5,3.533333333333333,5.218954248366013,3.9771241830065365,3.7079738562091507,2
smollm-1.7b,4.111111111111111,1.8433333333333335,2.8000000000000003,4.261437908496732,3.947712418300654,3.392718954248366,3
