,ci,drs,ds,qa,rc,Average,Rank
smollm-135m,0.9771241830065359,1.0,0.9899999999999999,0.9281045751633986,0.9509803921568628,0.9692418300653595,1
smollm-1.7b,0.9444444444444443,0.98,1.0,0.9411764705882352,0.9673202614379085,0.9665882352941175,2
smollm-360m,0.9346405228758169,0.9866666666666667,0.9666666666666667,0.9477124183006537,0.9738562091503268,0.9619084967320262,3
